League,Player,Wins,Total_League_Awards,Percentage_of_Total
AL,A. J. Pierzynski,1,46,2.17
AL,Adley Rutschman,1,46,2.17
AL,Alejandro Kirk,1,46,2.17
AL,Alex Avila,1,46,2.17
AL,Brian McCann,1,46,2.17
AL,Carlton Fisk,3,46,6.52
AL,Gary Sánchez,1,46,2.17
AL,Iván Rodríguez,7,46,15.22
AL,Jason Varitek,1,46,2.17
AL,Joe Mauer,5,46,10.87
AL,Jorge Posada,5,46,10.87
AL,Lance Parrish,6,46,13.04
AL,Matt Nokes,1,46,2.17
AL,Mickey Tettleton,3,46,6.52
AL,Mike Stanley,1,46,2.17
AL,Mitch Garver,1,46,2.17
AL,Salvador Pérez,5,46,10.87
AL,Víctor Martínez,1,46,2.17
AL,Yan Gomes,1,46,2.17
NL,Benito Santiago,4,45,8.89
NL,Brian McCann,5,45,11.11
NL,Buster Posey,5,45,11.11
NL,Craig Biggio,1,45,2.22
NL,Darren Daulton,1,45,2.22
NL,Gary Carter,5,45,11.11
NL,J. T. Realmuto,3,45,6.67
NL,Javy López,1,45,2.22
NL,Johnny Estrada,1,45,2.22
NL,Michael Barrett,1,45,2.22
NL,Mike Piazza,10,45,22.22
NL,Russell Martin,1,45,2.22
NL,Ted Simmons,1,45,2.22
NL,Terry Kennedy,1,45,2.22
NL,Travis d'Arnaud,1,45,2.22
NL,William Contreras,2,45,4.44
NL,Wilson Ramos,1,45,2.22
NL,Yadier Molina,1,45,2.22
