League,Year,Player,Team
AL,1980,Lance Parrish,Detroit Tigers
AL,1981,Carlton Fisk,Chicago White Sox
AL,1982,Lance Parrish,Detroit Tigers
AL,1983,Lance Parrish,Detroit Tigers
AL,1984,Lance Parrish,Detroit Tigers
AL,1985,Carlton Fisk,Chicago White Sox
AL,1986,Lance Parrish,Detroit Tigers
AL,1987,Matt Nokes,Detroit Tigers
AL,1988,Carlton Fisk,Chicago White Sox
AL,1989,Mickey Tettleton,Baltimore Orioles
AL,1990,Lance Parrish,California Angels
AL,1991,Mickey Tettleton,Detroit Tigers
AL,1992,Mickey Tettleton,Detroit Tigers
AL,1993,Mike Stanley,New York Yankees
AL,1994,Iván Rodríguez,Texas Rangers
AL,1995,Iván Rodríguez,Texas Rangers
AL,1996,Iván Rodríguez,Texas Rangers
AL,1997,Iván Rodríguez,Texas Rangers
AL,1998,Iván Rodríguez,Texas Rangers
AL,1999,Iván Rodríguez,Texas Rangers
AL,2000,Jorge Posada,New York Yankees
AL,2001,Jorge Posada,New York Yankees
AL,2002,Jorge Posada,New York Yankees
AL,2003,Jorge Posada,New York Yankees
AL,2004,Víctor Martínez,Cleveland Indians
AL,2004,Iván Rodríguez,Detroit Tigers
AL,2005,Jason Varitek,Boston Red Sox
AL,2006,Joe Mauer,Minnesota Twins
AL,2007,Jorge Posada,New York Yankees
AL,2008,Joe Mauer,Minnesota Twins
AL,2009,Joe Mauer,Minnesota Twins
AL,2010,Joe Mauer,Minnesota Twins
AL,2011,Alex Avila,Detroit Tigers
AL,2012,A. J. Pierzynski,Chicago White Sox
AL,2013,Joe Mauer,Minnesota Twins
AL,2014,Yan Gomes,Cleveland Indians
AL,2015,Brian McCann,New York Yankees
AL,2016,Salvador Pérez,Kansas City Royals
AL,2017,Gary Sánchez,New York Yankees
AL,2018,Salvador Pérez,Kansas City Royals
AL,2019,Mitch Garver,Minnesota Twins
AL,2020,Salvador Pérez,Kansas City Royals
AL,2021,Salvador Pérez,Kansas City Royals
AL,2022,Alejandro Kirk,Toronto Blue Jays
AL,2023,Adley Rutschman,Baltimore Orioles
AL,2024,Salvador Pérez,Kansas City Royals
NL,1980,Ted Simmons,St. Louis Cardinals
NL,1981,Gary Carter,Montreal Expos
NL,1982,Gary Carter,Montreal Expos
NL,1983,Terry Kennedy,San Diego Padres
NL,1984,Gary Carter,Montreal Expos
NL,1985,Gary Carter,New York Mets
NL,1986,Gary Carter,New York Mets
NL,1987,Benito Santiago,San Diego Padres
NL,1988,Benito Santiago,San Diego Padres
NL,1989,Craig Biggio,Houston Astros
NL,1990,Benito Santiago,San Diego Padres
NL,1991,Benito Santiago,San Diego Padres
NL,1992,Darren Daulton,Philadelphia Phillies
NL,1993,Mike Piazza,Los Angeles Dodgers
NL,1994,Mike Piazza,Los Angeles Dodgers
NL,1995,Mike Piazza,Los Angeles Dodgers
NL,1996,Mike Piazza,Los Angeles Dodgers
NL,1997,Mike Piazza,Los Angeles Dodgers
NL,1998,Mike Piazza,Los Angeles DodgersFlorida MarlinsNew York Mets
NL,1999,Mike Piazza,New York Mets
NL,2000,Mike Piazza,New York Mets
NL,2001,Mike Piazza,New York Mets
NL,2002,Mike Piazza,New York Mets
NL,2003,Javy López,Atlanta Braves
NL,2004,Johnny Estrada,Atlanta Braves
NL,2005,Michael Barrett,Chicago Cubs
NL,2006,Brian McCann,Atlanta Braves
NL,2007,Russell Martin,Los Angeles Dodgers
NL,2008,Brian McCann,Atlanta Braves
NL,2009,Brian McCann,Atlanta Braves
NL,2010,Brian McCann,Atlanta Braves
NL,2011,Brian McCann,Atlanta Braves
NL,2012,Buster Posey,San Francisco Giants
NL,2013,Yadier Molina,St. Louis Cardinals
NL,2014,Buster Posey,San Francisco Giants
NL,2015,Buster Posey,San Francisco Giants
NL,2016,Wilson Ramos,Washington Nationals
NL,2017,Buster Posey,San Francisco Giants
NL,2018,J. T. Realmuto,Miami Marlins
NL,2019,J. T. Realmuto,Philadelphia Phillies
NL,2020,Travis d'Arnaud,Atlanta Braves
NL,2021,Buster Posey,San Francisco Giants
NL,2022,J. T. Realmuto,Philadelphia Phillies
NL,2023,William Contreras,Milwaukee Brewers
NL,2024,William Contreras,Milwaukee Brewers
